noisy,correct
අම්ම,අම්මා
තාත්ත,තාත්තා
ගෙදර්,ගෙදර
කෑම්,කෑම
කොහොමද්,කොහොමද
සමන්න,සමන්
කමල්ල්,කමල්
නිමල්ල්,නිමල්
සුනිල්ල්,සුනිල්
පාසල්,පාසල
ගුරුවරය,ගුරුවරයා
ළමය,ළමයා
පොත්,පොත
දුව්,දුව
පුත්,පුතා
යාලුව,යාලුවා
රට්,රට
ගම්,ගම
වතුර්,වතුර
බත්ත්,බත්
දවස්,දවස
රාත්‍රිය්,රාත්‍රිය
උත්සවය්,උත්සවය
නංගිි,නංගි
මල්ලි,මල්ලි
අක්ක,අක්කා
අයිය,අයියා
මගෙ,මගේ
ඔය,ඔයා
අපී,අපි
මමා,මම
කවුද්,කවුද
හරී,හරි
පොත්,පොත
ගෙදර්,ගෙදර
දුවා,දුව
පුතාා,පුතා
බත,බත්
කෑම්,කෑම
දවසා,දවස
පාසලා,පාසල
අම්මාා,අම්මා
තාත්තාා,තාත්තා
කමල්ා,කමල්
නිමලා,නිමල්
සුනිලා,සුනිල්
වතුරා,වතුර
ගමා,ගම
රටා,රට
පොතා,පොත
දුවාා,දුව
යාලුවාා,යාලුවා
අක්කාා,අක්කා
අයියාා,අයියා
ගෙදරට්,ගෙදරට
ගෙදරින්්,ගෙදරින්
කොහෙද්,කොහෙද
කොතනද්,කොතනද
මොකද්,මොකද
ඇයිද්,ඇයිද
කියන්න්,කියන්න
කරන්න්,කරන්න
ගිය්,ගිය
ආව්,ආව
කෑව්,කෑව
බීව්,බීව
ලස්සන,ලස්සන
ලසන,ලස්සන
සුන්දර,සුන්දර
සුනදර,සුන්දර
මිතුර,මිතුර
මිතුරු,මිතුර
සහෝදර,සහෝදර
සහොදර,සහෝදර
විද්‍යාල,විද්‍යාල
විද්යාල,විද්‍යාල
පුස්තකාල,පුස්තකාල
පුස්තකල,පුස්තකාල
ක්‍රීඩා,ක්‍රීඩා
ක්රීඩා,ක්‍රීඩා
සංස්කෘතික,සංස්කෘතික
සන්ස්කෘතික,සංස්කෘතික
මහත්මයා,මහත්මයා
මහතමයා,මහත්මයා
ශ්‍රී,ශ්‍රී
ස්රී,ශ්‍රී
බෞද්ධ,බෞද්ධ
බෞදධ,බෞද්ධ
රෝහල,රෝහල
රොහල,රෝහල
ආරම්භ,ආරම්භ
ආරබ්භ,ආරම්භ
ප්‍රශ්න,ප්‍රශ්න
ප්රශ්න,ප්‍රශ්න
විශ්වවිද්‍යාල,විශ්වවිද්‍යාල
විශ්වවිද්යාල,විශ්වවිද්‍යාල
ජාතික,ජාතික
ජාතිකක,ජාතික
අධ්‍යාපන,අධ්‍යාපන
අධ්යපන,අධ්‍යාපන
සංවර්ධන,සංවර්ධන
සන්වර්ධන,සංවර්ධන
විද්යාල,විද්‍යාල
විශ්වවිද්යාල,විශ්වවිද්‍යාල
ප්රශ්නය,ප්‍රශ්නය
ක්රීඩා,ක්‍රීඩා
